,index,Speed,Location,County,State,Lat,Lon,Comments,datetime
0,0,60,2 NE NORTON,NORTON,KS,39.86,-99.86,SOCIAL MEDIA REPORT OF A WIND GUSTS AS THE STORM MOVED IN AROUND 60 MPH. (GLD),2023-05-09 14:20:00
1,1,UNK,1 SE DRESDEN,DECATUR,KS,39.61,-100.41,DELAYED REPORT VIA SOCIAL MEDIA. 42 FOOT GRAIN TRAILER MOVED ABOUT 100 FEET AND BLOWN ONTO ITS SIDE. (GLD),2023-05-09 14:23:00
2,2,59,SMITH CENTER AIRPORT,SMITH,KS,39.76,-98.79,(GID),2023-05-09 15:55:00
3,3,81,1 NNW OSBORNE,OSBORNE,KS,39.45,-98.7,(GID),2023-05-09 16:22:00
4,4,UNK,1 N OSBORNE,OSBORNE,KS,39.45,-98.7,RECEIVED REPORT FROM KAKE OF POSSIBLE DAMAGE ON THE NNW SIDE OF OSBORNE NEAR HOSPITAL... CONFIRMED WITH COUNTY DISPATCH THAT 3 POWER POLES WERE BROKEN IN THAT AREA. REP (GID),2023-05-09 16:22:00
5,5,58,2 N CAWKER CITY,MITCHELL,KS,39.54,-98.44,(GID),2023-05-09 16:29:00
6,6,66,2 N CAWKER CITY,MITCHELL,KS,39.54,-98.44,AMBIENT WEATHER STATION - CAWKER WEATHER. (GID),2023-05-09 16:50:00
7,7,71,6 WSW BELOIT,MITCHELL,KS,39.44,-98.21,KSU MESONET SITE WSW OF BELOIT. (GID),2023-05-09 16:59:00
8,8,65,5 W PARADISE,RUSSELL,KS,39.11,-99.02,(ICT),2023-05-09 17:02:00
9,9,58,4 WSW BELOIT,MITCHELL,KS,39.45,-98.19,DAVIS WEATHERLINK STATION. TIME ESTIMATED FROM RADAR. (GID),2023-05-09 17:20:00
10,10,UNK,2 WNW HOWELL'S COVE,TALLADEGA,AL,33.5,-86.19,TREES DOWN ALONG JOE LEE RD. (BMX),2023-05-09 17:38:00
11,11,UNK,5 ESE COUNTRY CLUB ESTA,TALLADEGA,AL,33.44,-86.21,TREES DOWN RENFROE RD/DIAL RD. ONE TREE ON CAR. (BMX),2023-05-09 17:53:00
12,12,UNK,CONCORDIA,CLOUD,KS,39.57,-97.66,DELAYED REPORT. SIX INCH HEALTHY TREE LIMBS TORN OFF TREES. (TOP),2023-05-09 17:55:00
13,13,76,2 SSE CONCORDIA,CLOUD,KS,39.55,-97.65,(TOP),2023-05-09 18:14:00
14,14,UNK,CONCORDIA,CLOUD,KS,39.57,-97.66,REPORTED STRUCTURAL DAMAGE AT THE FAIRGROUNDS... DAMAGE TO A BUILDING OFF HWY 81... AND DAMAGE TO 2-3 INCH TREE LIMBS. (TOP),2023-05-09 18:14:00
15,15,UNK,1 WSW ALPINE,TALLADEGA,AL,33.35,-86.24,TREE DOWN ON GRIST MILL RD NEAR ALPINE POST OFFICE. (BMX),2023-05-09 18:20:00
16,16,65,4 ESE OAK HILL,CLAY,KS,39.22,-97.28,SPOTTER ESTIMATED WINDS ABOUT 60-65 MPH WINDS. TIME ESTIMATED. (TOP),2023-05-09 18:30:00
17,17,UNK,SYLACAUGA,TALLADEGA,AL,33.17,-86.25,MULTIPLE REPORTS OF TREES AND POWER LINES DOWN AROUND SYLACAUGA. (BMX),2023-05-09 18:55:00
